Property Melting Point,Property Density,Property Boiling Point,Property Solubility,Property Molar Mass,Name,formula
,,,,,Isoemericellin,C$_{25}$H$_{28}$O$_{5}$
,,,,,CBS-0550,C$_{20}$H$_{23}$F$_{4}$N$_{3}$O
645,3.988,1297,162,168.36,Caesium chloride,CsCl
849,2.223,,0.89,49.751,Lithium metaborate,LiBO$_{2}$
52,2.38,,18.2,174.107,Sodium dithionite,Na$_{2}$S$_{2}$O$_{4}$
,,,,,Norlevorphanol,C$_{16}$H$_{21}$NO
,,,,228.137,Phosphomevalonic acid,C$_{6}$H$_{13}$O$_{7}$P
,,,,,Itraconazole,C$_{35}$H$_{38}$Cl$_{2}$N$_{8}$O$_{4}$
,,,,,Raltitrexed,C$_{21}$H$_{22}$N$_{4}$O$_{6}$S
,,,,,Ciladopa,C$_{21}$H$_{26}$N$_{2}$O$_{4}$
,,,,,Umifenovir,C$_{22}$H$_{28}$BrClN$_{2}$O$_{4}$S
,,,,,Flomoxef,C$_{15}$H$_{18}$F$_{2}$N$_{6}$O$_{7}$S$_{2}$
-52,,68,decomposes,207.87,Thionyl bromide,SOBr$_{2}$
,,,,,Calcitroic acid,C$_{23}$H$_{34}$O$_{4}$
,,,,,Devazepide,C$_{25}$H$_{20}$N$_{4}$O$_{2}$
,,,,,Polyaspartic acid,(C$_{4}$H$_{5}$NO$_{3}$)$_{n}$
115-118,,297-298,,,Ethylparaben,C$_{9}$H$_{10}$O$_{3}$
,,,,,Aluminium nicotinate,
,,,,448.38,Isoorientin,C$_{21}$H$_{20}$O$_{11}$
,,,,,Trepibutone,C$_{16}$H$_{22}$O$_{6}$
,,,,383.798,Bromopentaamminecobalt(III) bromide,(Co(NH$_{3}$)$_{5}$Br)Br$_{2}$
16.9,,45,Reacts to give sulfuric acid,80.066,Sulfur trioxide,SO$_{3}$
,,,,,Miglustat,C$_{10}$H$_{21}$NO$_{4}$
,,,,,LJ-001,C$_{17}$H$_{13}$NO$_{2}$S$_{2}$
40-43,0.967,171-173,,118.174,Pinacol,C$_{6}$H$_{14}$O$_{2}$
,,,,,Zofenopril,C$_{22}$H$_{23}$NO$_{4}$S$_{2}$
,,,,223.23,Bendiocarb,C$_{11}$H$_{13}$NO$_{4}$
,,,,,Amosulalol,C$_{18}$H$_{24}$N$_{2}$O$_{5}$S
,,,,,Croconic acid,C$_{5}$H$_{2}$O$_{5}$
,,,,,Clometocillin,C$_{17}$H$_{18}$Cl$_{2}$N$_{2}$O$_{5}$S
,,,,,Aspartame-acesulfame salt,C$_{18}$H$_{23}$O$_{9}$N$_{3}$S
575,2.75,,8.35g/100mL (25 $^{\circ}$C),184.0625,Potassium hexafluorophosphate,F$_{6}$KP
,,,,838,Bromsulphthalein,C$_{20}$H$_{8}$O$_{10}$Br$_{4}$S$_{2}$Na$_{2}$
,,,,,MMDA-2,C$_{11}$H$_{15}$NO$_{3}$
,,,,,Terbequinil,C$_{15}$H$_{18}$N$_{2}$O$_{3}$
1473,7.16,1700,insoluble,231.84,Tungsten trioxide,WO$_{3}$
,,251.2,,87.08,Dehydroalanine,C$_{3}$H$_{5}$NO$_{2}$
,,,,,Org 27569,
286,1.4,,Soluble,210.16,Tetraethylammonium bromide,C$_{8}$H$_{20}$NBr
,,,,,Cloprednol,C$_{21}$H$_{25}$ClO$_{5}$
,,,,,Ro10-5824,C$_{17}$H$_{20}$N$_{4}$
,,,soluble,,PolyDADMAC,(C$_{8}$H$_{16}$NCl)$_{n}$
275,1.846,,0.22,65.0099,Sodium azide,NaN$_{3}$
,,,,300.26,Pratensein,C$_{16}$H$_{12}$O$_{6}$
,,308,2.75,,Hexyl cinnamaldehyde,C$_{15}$H$_{20}$O
113,,,,,Hexachlorocyclohexa-2 5-dien-1-one,C$_{6}$Cl$_{6}$O
,,,,,Diazepam,C$_{16}$H$_{13}$ClN$_{2}$O
,,,,,T-HCA,C$_{4}$H$_{6}$O$_{3}$
,,,,,Altinicline,C$_{12}$H$_{14}$N$_{2}$
86,1.8,275-277,0.68,,Pentachlorobenzene,C$_{6}$HCl$_{5}$
,,,,386.35,Arboreol,C$_{20}$H$_{18}$O$_{8}$
,,,,,Pipamperone,C$_{21}$H$_{30}$FN$_{3}$O$_{2}$
29-32,,220-223,,,Quinoxaline,C$_{8}$H$_{6}$N$_{2}$
,,,,,DOTA (chelator),C$_{16}$H$_{28}$N$_{4}$O$_{8}$
,,,,,Trenbolone,C$_{18}$H$_{22}$O$_{2}$
,,,nonpolar solvents,166.02,Hexafluoropropylene oxide,C$_{3}$F$_{6}$O
,,,,110.044,Sodium pyruvate,C$_{3}$H$_{3}$NaO$_{3}$
,,,,,Coronaridine,C$_{21}$H$_{26}$N$_{2}$O$_{2}$
,,,,,Mononitrogen monosulfide,NS
,,,,,Tin(II) chloride (data page),C$_{8}$H$_{6}$BrClNO$_{4}$P
,,,,,Norpropylhexedrine,C$_{9}$H$_{19}$N
,,,,,NovaMin,CaNaO$_{6}$PSi
-8.6,1.174,222,0.639,,Methyl salicylate,C$_{8}$H$_{8}$O$_{3}$
,,,,,Beta-Pinene,C$_{10}$H$_{16}$
,,,,,AB-FUBINACA,C$_{20}$H$_{21}$FN$_{4}$O$_{2}$
115,1.26,,Insoluble,,Polybutylene succinate,(C$_{8}$H$_{12}$O$_{4}$)$_{n}$
,,,,,JWH-047,C$_{25}$H$_{25}$NO
,,,,,Atovaquone,C$_{22}$H$_{19}$ClO$_{3}$
,,,2.32,282.31,Calcium benzoate,Ca(C$_{7}$H$_{5}$O$_{2}$)$_{2}$
2350,13.63,,,250.04,Uranium carbide,UC
,,,,,Ablukast,C$_{28}$H$_{34}$O$_{8}$
,,,,,Dextrothyroxine,C$_{15}$H$_{11}$I$_{4}$NO$_{4}$
,,,,,Sabeluzole,C$_{22}$H$_{26}$FN$_{3}$O$_{2}$S
,,,,,Bufotalin,C$_{26}$H$_{36}$O$_{6}$
,,,,,Pyrithyldione,C$_{9}$H$_{13}$NO$_{2}$
,,,,,Cefixime,C$_{16}$H$_{15}$N$_{5}$O$_{7}$S$_{2}$
,,,,,WB-4101,C$_{19}$H$_{23}$NO$_{5}$
,,,,,Alinidine,C$_{12}$H$_{13}$Cl$_{2}$N$_{3}$
,,,,338.44,Dodecyl gallate,C$_{19}$H$_{30}$O$_{5}$
,,,,,Mifamurtide,C$_{59}$H$_{109}$N$_{6}$O$_{19}$P
35-40,,128,70%,,Phosgene oxime,CHNOCl$_{2}$
244-246,,,,,Tetrabutylammonium hexafluorophosphate,C$_{16}$H$_{36}$F$_{6}$NP
,,,,,Adalimumab biosimilar,
,,,,,Chloroprocaine,C$_{13}$H$_{19}$ClN$_{2}$O$_{2}$
,,,,363.22,Guanosine monophosphate,C$_{10}$H$_{14}$N$_{5}$O$_{8}$P
,,,,301.27,Peonidin,C$_{16}$H$_{13}$O$^{+}_{6}$
,,,,,Melanotan II,C$_{50}$H$_{69}$N$_{15}$O$_{9}$
-45,,156-157,Insoluble,258.71,Diethylmercury,C$_{4}$H$_{10}$Hg
,,,,,Caffeine,C$_{8}$H$_{10}$N$_{4}$O$_{2}$
194,,945,945.1,191.949,Caesium acetate,C$_{2}$H$_{3}$O$_{2}$Cs
222-225,,,,,Phanephos,C$_{40}$H$_{34}$P$_{2}$
,,,,499.14,Perfluorooctanesulfonamide,C$_{8}$H$_{2}$F$_{17}$NO$_{2}$S
172,,423,insoluble,,Santonin,C$_{15}$H$_{18}$O$_{3}$
80,,,negligible,97.561,Copper(II) hydroxide,Cu(OH)$_{2}$
,,,,,Sunifiram,C$_{14}$H$_{18}$N$_{2}$O$_{2}$
193,1.42,82,,,Hafnium acetylacetonate,C$_{20}$H$_{28}$HfO$_{8}$
,,,,,Cyclizine,C$_{18}$H$_{22}$N$_{2}$
,,,,,RTA 408,
142.2,,,Soluble,,Polylysine,(C$_{6}$H$_{12}$N$_{2}$O)$_{n}$
,,,,853.625,Beta-Hydroxybutyryl-CoA,C$_{25}$H$_{42}$N$_{7}$O$_{18}$P$_{3}$S
,,,,,Poly(dichlorophosphazene),(PNCl$_{2}$)$_{n}$
,,,,206.31,Pyrantel,C$_{11}$H$_{14}$N$_{2}$S
140,,,0.155,153.87,Silver nitrite,AgNO$_{2}$
45.6,,,practically insoluble in water,,Ubiquinol,C$_{59}$H$_{92}$O$_{4}$
,,,,,Gmelanone,C$_{20}$H$_{16}$O$_{7}$
,,,,,Thymidine monophosphate,C$_{10}$H$_{13}$N$_{2}$O$_{8}$P$^{1-}$
,,,,,Bilobalide,C$_{15}$H$_{18}$O$_{8}$
125-131,,,,308.434,N-Octyl $\beta$-D-thioglucopyranoside,C$_{14}$H$_{28}$O$_{5}$S
,,,,89.075,Beryllium sulfite,BeSO$_{3}$
121.5,3.69,278.8,soluble,309.435,Gallium(III) bromide,GaBr$_{3}$
,,,,303.31164,Nicotianamine,C$_{12}$H$_{21}$N$_{3}$O$_{6}$
,,,,,SKF-77 434,
,0.7356,38.8,30.5,,Methoxypropane,C$_{4}$H$_{10}$O
,,,,,Decitabine,C$_{8}$H$_{12}$N$_{4}$O$_{4}$
41-42,,,,138.12,Peroxybenzoic acid,C$_{7}$H$_{6}$O$_{3}$
,,,,,Pamaquine,C$_{19}$H$_{29}$N$_{3}$O
,,,,,Tellurium iodide,TeI
,,,,,Benzophenone,C$_{13}$H$_{10}$O
240,,,8,317.7,Zinc pyrithione,C$_{10}$H$_{8}$N$_{2}$O$_{2}$S$_{2}$Zn
,,,,,DCG-IV,C$_{7}$H$_{9}$NO$_{6}$
,,,,,Phenazocine,C$_{22}$H$_{27}$NO
,,,,470.52,Limonin,C$_{26}$H$_{30}$O$_{8}$
,,,,252.09,Hexahydroxybenzene triscarbonate,C$_{9}$O$_{9}$
947,3.437,,decomposes,290.84,Aluminium selenide,Al$_{2}$Se$_{3}$
-111.2,,-62.5,0.07,77.9454,Arsine,AsH$_{3}$
296.5,,,Very soluble,93.746,Lithium tetrafluoroborate,LiBF$_{4}$
,,,,,Dimercaprol,C$_{3}$H$_{8}$S$_{2}$O
6.2,1.0923,224,1.5,,O-Anisidine,C$_{7}$H$_{9}$NO
-129,,-24,15.425,,Borirane,BC$_{2}$H$_{5}$
136-140,,,Partially soluble in cold water,442.281,BOP reagent,C$_{12}$H$_{22}$F$_{6}$N$_{6}$OP$_{2}$
28-34,,163,,,Methylphosphonic acid dichloride,CH$_{3}$Cl$_{2}$OP
,,,,,BIMU8,C19H26N4O2<big>$\cdot$HCl</big>
,,,,,Isoprenaline,C$_{11}$H$_{17}$NO$_{3}$
,,,,,Sulfasalazine,C$_{18}$H$_{14}$N$_{4}$O$_{5}$S
,,,Insoluble in water,,Eupione,C$_{5}$H$_{12}$
,,,,,Norgestrienone,C$_{20}$H$_{22}$O$_{2}$
128.6,,,25,,Xenon difluoride,XeF$_{2}$
,,,,,Terazosin,C$_{19}$H$_{25}$N$_{5}$O$_{4}$
,,-13,,211.23,Plumbane,PbH$_{4}$
-97.9,,142.4,0.03%,,Dibutyl ether,C$_{8}$H$_{18}$O
,,,,155.2,Benzazocine,C$_{11}$H$_{9}$N
>650,,,low,407.61.21,Caesium dodecaborate,B$_{12}$H$_{12}$Cs$_{2}$
,,47.3,not soluble in water,,Dibromotetrafluoroethane,C$_{2}$Br$_{2}$F$_{4}$
,,,1.46x10$^{5}$,,Peroxyacetyl nitrate,C$_{2}$H$_{3}$NO$_{5}$
,,,,,Tulipanin,C$_{27}$H$_{31}$ClO$_{16}$
,,,,,CP-532 903,C$_{18}$H$_{19}$Cl$_{2}$N$_{7}$O$_{3}$
-10,,344.5,0.04,,Dibutyl sebacate,C$_{18}$H$_{34}$O$_{4}$
,,,,,Dimethazan,C$_{11}$H$_{17}$N$_{5}$O$_{2}$
,,,,128.91,Bromic acid,HBrO$_{3}$
1118,7.6,1281,,239.3,Lead(II) sulfide,PbS
,,,,,Tolazamide,C$_{14}$H$_{21}$N$_{3}$O$_{3}$S
,,,,454.47,Cyphostemmin A,C$_{28}$H$_{22}$O$_{6}$
,,,,,Budipine,C$_{21}$H$_{27}$N
,,,,382.32,Heneicosylic acid,C$_{21}$H$_{42}$O$_{2}$
,,-5.8,0.016,200.03,Octafluorocyclobutane,C$_{4}$F$_{8}$
,5.25,900,,273.947,Germanium nitride,Ge$_{3}$N$_{4}$
150-152,,,~1000,,Clopyralid,C$_{6}$H$_{3}$Cl$_{2}$NO$_{2}$
,,,,,Iniparib,C$_{7}$H$_{5}$IN$_{2}$O$_{3}$
,,,Insoluble,522.199,Ammonium uranyl carbonate,UO$_{2}$CO$_{3}$.2(NH$_{4}$)$_{2}$CO$_{3}$
,,,,,Hyperoside,C$_{21}$H$_{20}$O$_{12}$
320,3.996,,9.3,252.63,Mercury(II) cyanide,Hg(CN)$_{2}$
-38,,84,,84.14,Thiophene,C$_{4}$H$_{4}$S
,,,,340.37,CPHPC,C$_{16}$H$_{24}$N$_{2}$O$_{6}$
51.2-52.5,,212,,,Methyldibromo glutaronitrile,C$_{6}$H$_{6}$Br$_{2}$N$_{2}$
,,,,,Stercobilin,C$_{33}$H$_{46}$N$_{4}$O$_{6}$
195-196,,,almost insoluble,174.15,Lawsone,C$_{10}$H$_{6}$O$_{3}$
243,1.93,,,493.0806,Cyclooctadiene rhodium chloride dimer,C$_{16}$H$_{24}$Cl$_{2}$Rh$_{2}$
,,249.3,,305.7728,Copper benzoate,C$_{14}$H$_{10}$CuO$_{4}$
,,,,,Borane,H$_{3}$B
,,,,,Aripiprazole,C$_{23}$H$_{27}$Cl$_{2}$N$_{3}$O$_{2}$
-132,,-14,,,Disilane,H$_{6}$Si$_{2}$
,,,,,Dapsone,C$_{12}$H$_{12}$N$_{2}$O$_{2}$S
,,,,774.96,Indocyanine green,C$_{43}$H$_{47}$N$_{2}$NaO$_{6}$S$_{2}$
,,,,376.9,Capsazepine,C$_{19}$H$_{21}$ClN$_{2}$O$_{2}$S
,,,,,Isocetane,C$_{16}$H$_{34}$
,,,,235.325,Methylenedioxycyclopropylmethylamphetamine,C$_{14}$H$_{21}$NO$_{2}$
23-28,0.982,,,,Polytetrahydrofuran,(C$_{4}$H$_{8}$O)$_{n}$
50,1.055,218,2070,,Methyl phenylacetate,C$_{9}$H$_{10}$O$_{2}$
,,,,94.134,Methylpyridinium,C$_{6}$H$_{8}$N$^{+}$
,,,,,Imiloxan,C$_{14}$H$_{16}$N$_{2}$O$_{2}$
77-82,,,Insoluble,,Cholesteryl nonanoate,C$_{36}$H$_{62}$O$_{2}$
,,,,439.471,CZTS,Cu$_{2}$ZnSnS$_{4}$
,,41.5,,153.7927,Cyclopentadienyl nickel nitrosyl,(C$_{5}$H$_{5}$)NiNO
,,,,,Metaclazepam,C$_{18}$H$_{18}$BrClN$_{2}$O
157-158,,,,70.05,Tetrazole,CH$_{2}$N$_{4}$
,,,,749.893,Light Green SF yellowish,C$_{37}$H$_{37}$N$_{2}$O$_{9}$S$_{3}$+
,,,,~ 60000,Diamphotoxin,CH$_{3}$SNa
,0.85,167,,,Isopropyl myristate,C$_{17}$H$_{34}$O$_{2}$
1152,2.87,1300,slightly soluble,158.36,Chromium(III) chloride,CrCl$_{3}$
,,,,,Diphenoxylate,C$_{30}$H$_{32}$N$_{2}$O$_{2}$
109,1.45,238,,,Methylsulfonylmethane,C$_{2}$H$_{6}$O$_{2}$S
-12.5,1.0837,199.6,,,Methyl benzoate,C$_{8}$H$_{8}$O$_{2}$
570,2.986,645,anhydrous:   71,211.63,Strontium nitrate,Sr(NO$_{3}$)$_{2}$
,,,,,Fendiline,C$_{23}$H$_{25}$N
,,,,,Dodecane,C$_{12}$H$_{26}$
,,138-140,,,Trimethylsilyl cyclopentadiene,C$_{8}$H$_{14}$Si
,1.54,,91,,L-Glucose,C$_{6}$H$_{12}$O$_{6}$
,,,,,Nepafenac,C$_{15}$H$_{14}$N$_{2}$O$_{2}$
,,,,,Fluparoxan,C$_{10}$H$_{10}$FNO$_{2}$
,,,,,Clinofibrate,C$_{28}$H$_{36}$O$_{6}$
,,,,,Safinamide,C$_{17}$H$_{19}$FN$_{2}$O$_{2}$
,,,,,Blazein,C$_{29}$H$_{48}$O$_{3}$
249.3,,,0.0648,,Digoxin,C$_{41}$H$_{64}$O$_{14}$
315,6.582,,0.00011,267.21,Lead carbonate,PbCO$_{3}$
,,877.7,,427.201,Adenosine diphosphate,C$_{10}$H$_{15}$N$_{5}$O$_{10}$P$_{2}$
-80.8,,,slightly soluble,,Acetylene,C$_{2}$H$_{2}$
,,,,,Ivacaftor,C$_{62}$H$_{78}$Cl$_{2}$N$_{2}$O$_{14}$
,,,,,Tiamenidine,C$_{8}$H$_{10}$ClN$_{3}$S
,,,,,Rolofylline,C$_{20}$H$_{28}$N$_{4}$O$_{2}$
,,30,,207.92,Iodotrifluoroethylene,C$_{2}$F$_{3}$I
,,,,,Paraloid B-72,C$_{44}$H$_{62}$N$_{10}$O$_{10}$S$_{2}$
,,,,,Elbasvir,C$_{49}$H$_{55}$N$_{9}$O$_{7}$
,,,,,Etilefrine,C$_{10}$H$_{15}$NO$_{2}$
,,,,,Nargenicin,C$_{28}$H$_{37}$NO$_{8}$
,,,,,Tunicamycin,C$_{39}$H$_{64}$N$_{4}$O$_{16}$
,,,,,Sertindole,C$_{24}$H$_{26}$ClFN$_{4}$O
,,,,,Latrepirdine,C$_{21}$H$_{25}$N$_{3}$
,,,,1042.05,Phosphatidylinositol 4 5-bisphosphate,C$_{47}$H$_{80}$O$_{19}$P$_{3}$
,,,,,Fluorometholone,C$_{22}$H$_{29}$FO$_{4}$
-128,,-1.7,1.5,,Perfluorobutane,C$_{4}$F$_{10}$
,1.2$\pm$0.1,,,,INH1,C$_{18}$H$_{16}$N$_{2}$OS
,,,,,SB-431542,C$_{22}$H$_{16}$N$_{4}$O$_{3}$
,,,,,Aptiganel,C$_{20}$H$_{21}$N$_{3}$
,,,1.067,,Bromoethane,C$_{2}$H$_{5}$Br
-120.8,,18,,53.32,Tetraborane,B$_{4}$H$_{10}$
1775,,,,186.11,Scandium(III) sulfide,Sc$_{2}$S$_{3}$
111-113,,,organic solvents,,CPhos,C$_{28}$H$_{41}$N$_{2}$P
,,,,,Cabergoline,C$_{26}$H$_{37}$N$_{5}$O$_{2}$
,,,,,Risperidone,C$_{23}$H$_{27}$FN$_{4}$O$_{2}$
301,,,16,,Norleucine,C$_{6}$H$_{13}$NO$_{2}$
,,,,,Levopropylhexedrine,C$_{10}$H$_{21}$N
,,,,,Estrone,C$_{18}$H$_{22}$O$_{2}$
,,,,338.35,Glyceollin III,C$_{20}$H$_{18}$O$_{5}$
,,,,,Dihydrothymine,C$_{5}$H$_{8}$N$_{2}$O$_{2}$
,,,,,PD-128 907,
,5.6,,soluble,102.913,Yttrium nitride,YN
,,,,,Telmisartan,C$_{33}$H$_{30}$N$_{4}$O$_{2}$
,,,,,Oenin,"C$_{23}$H$_{25}$O$_{12}^{+}$,C$_{23}$H$_{25}$ClO$_{12}$(chloride)"
1176,1.856,,12.4,78.0452,Sodium sulfide,Na$_{2}$S
-95,,136,0.015,,Ethylbenzene,C$_{8}$H$_{10}$
,,,,634.45,Corilagin,C$_{27}$H$_{22}$O$_{18}$
,,,,538.61,Pyrrolidine,C$_{25}$H$_{27}$N$_{2}$NaO$_{6}$S$_{2}$
-22,1.085,140,,114.1,Ethyl diazoacetate,C$_{4}$H$_{6}$N$_{2}$O$_{2}$
,,,,,Stamulumab,C$_{6330}$H$_{9748}$N$_{1672}$O$_{1668}$S$_{48}$
,,,,,Deuterated benzene,C$^{2}_{6}$H$_{6}$
,,,,,Polymyxin B,
<25,0.99,362,,,Padimate O,C$_{17}$H$_{27}$NO$_{2}$
,2.6,,reacts,86.476,Rubidium hydride,RbH
142-143,,,,,Solvent Violet 13,C$_{21}$H$_{15}$NO$_{3}$
86,,,Insoluble,,DIOP,C$_{31}$H$_{32}$O$_{2}$P$_{2}$
,,,,,Corticorelin,C$_{205}$H$_{339}$N$_{59}$O$_{63}$S
,,,,228.67,MCPB,C$_{11}$H$_{13}$ClO$_{3}$
,,,,,Betamethasone,C$_{22}$H$_{29}$FO$_{5}$
-160.5,0.636,-72.2,Slightly soluble,46.04,Vinyl fluoride,C$_{2}$H$_{3}$F
,,,,,Delapril,C$_{26}$H$_{32}$N$_{2}$O$_{5}$
,,,,,Carbinoxamine,C$_{16}$H$_{19}$ClN$_{2}$O
249-250,,,,,Panicudine,C$_{20}$H$_{25}$NO$_{3}$
-40,,48-49,30% (20$^{\circ}$C),111.1,Methyl cyanoacrylate,C$_{5}$H$_{5}$NO$_{2}$
,,,,460.388,Oroxindin,C$_{22}$H$_{20}$O$_{11}$
,,,,,Rosuvastatin,C$_{22}$H$_{28}$FN$_{3}$O$_{6}$S
,,,,967.01,Rebaudioside A,C$_{44}$H$_{70}$O$_{23}$
,,,,,Fursultiamine,C$_{17}$H$_{26}$N$_{4}$O$_{3}$S$_{2}$
,,,,,PP2 (kinase inhibitor),C$_{15}$H$_{16}$ClN$_{5}$
,,,,,Clobutinol,C$_{14}$H$_{22}$ClNO
275,,,Soluble in water,,Sodium tetrasulfide,Na$_{2}$S$_{4}$
,,,,,Pancuronium bromide,
,,,,,Epsiprantel,C$_{20}$H$_{26}$N$_{2}$O$_{2}$
,,,,,AMG-3,C$_{25}$H$_{36}$O$_{2}$S$_{2}$
,,,,,Pipamazine,C$_{21}$H$_{24}$ClN$_{3}$OS
,,,Soluble,,Neurine,C$_{5}$H$_{13}$NO
,,,,,Carprofen,C$_{15}$H$_{12}$ClNO$_{2}$
,,,,,Bunaftine,C$_{21}$H$_{30}$N$_{2}$O
-2,,120,,,Undecanal,C$_{11}$H$_{22}$O
,,,,,Tobramycin,C$_{18}$H$_{37}$N$_{5}$O$_{9}$
,,,0.0008,,Chlorhexidine,C$_{22}$H$_{30}$Cl$_{2}$N$_{10}$
96.3,1.15,,,,Pyrimethanil,C$_{12}$H$_{13}$N$_{3}$
,,,,,Thiirene,C$_{2}$H$_{2}$S
,,,,,Succinic anhydride,
,6.75,,,253.962,Gold(III) fluoride,AuF$_{3}$
,,,,,Urokinase,C$_{1376}$H$_{2145}$N$_{383}$O$_{406}$S$_{18}$
,,,,,Ruboxistaurin,C$_{28}$H$_{28}$N$_{4}$O$_{3}$
,,,,,CX157,C$_{14}$H$_{8}$F$_{4}$O$_{4}$S
,,,,,Phenylbutazone,C$_{19}$H$_{20}$N$_{2}$O$_{2}$
,3.75,,Insoluble,304.72,Zinc pyrophosphate,Zn$_{2}$P$_{2}$O$_{7}$
,1.29,126,,,Dimethyl sulfite,C$_{2}$H$_{6}$O$_{3}$S
,1.5$\pm$0.1,,,,Phantasmidine,C$_{11}$H$_{11}$ClN$_{2}$O
1368,4.893,2260,0.16,175.34,Barium fluoride,BaF$_{2}$
,,,,,Cadmium hydride,CdH$_{2}$
,,,,,Alogliptin,C$_{18}$H$_{21}$N$_{5}$O$_{2}$
,,,,,Hydroxyethylpromethazine,C19H25N2OS1charge+
97,,131.3,,60.052,Glycolaldehyde,C$_{2}$H$_{4}$O$_{2}$
,,,,452.46,Melissic acid,C$_{30}$H$_{60}$O$_{2}$
,,,,352.856,PK-11195,C$_{21}$H$_{21}$ClN$_{2}$O
173,,,,,Santonic acid,C$_{15}$H$_{20}$O$_{4}$
,,,,,PF-184563,C$_{21}$H$_{23}$ClN$_{6}$
,,,,,RU-24 969,
,1.04,139,,,Coffee furanone,C$_{5}$H$_{8}$O$_{2}$
,,,,,Aurothioglucose,C$_{6}$H$_{11}$AuO$_{5}$S
,,,,,Tolcapone,C$_{14}$H$_{11}$NO$_{5}$
,,,,315.92,Ethylenediamine dihydroiodide,C$_{2}$H$_{10}$I$_{2}$N$_{2}$
,,,,,Cephaloridine,C$_{19}$H$_{17}$N$_{3}$O$_{4}$S$_{2}$
,,,,1040.22,Felypressin,C$_{46}$H$_{65}$N$_{13}$O$_{11}$S$_{2}$
-89,0.786,82.6,miscible,,Isopropyl alcohol,C$_{3}$H$_{8}$O
,,,,,Carbocromen,C$_{20}$H$_{27}$NO$_{5}$
,,,,554,Einsteinium(III) oxide,Es$_{2}$O$_{3}$
,,,,,Siramesine,C$_{30}$H$_{31}$FN$_{2}$O
,,,,,Flosequinan,C$_{11}$H$_{10}$FNO$_{2}$S
,,,,378.43,Fluprednisolone,C$_{21}$H$_{27}$FO$_{5}$
,,,,,Prednimustine,C$_{35}$H$_{45}$Cl$_{2}$NO$_{6}$
,,,,,Aceclidine,C$_{9}$H$_{15}$NO$_{2}$
,,,,,Labdane,C$_{20}$H$_{38}$
,,,,,Hydroxycarbamide,CH$_{4}$N$_{2}$O$_{2}$
,,,,,Butizide,C$_{11}$H$_{16}$ClN$_{3}$O$_{4}$S$_{2}$
<25,1.045,161-165,,262.36,Homosalate,C$_{16}$H$_{22}$O$_{3}$
39,,,490,,Hexamethylenediamine,C$_{6}$H$_{16}$N$_{2}$
39-41,1.71,,1240,482.25,Ammonium iron(III) sulfate,FeNH$_{4}$(SO$_{4}$)$_{2}$
,,,,,Indanorex,C$_{12}$H$_{17}$NO
,,,,158.014,Iodosilane,SiH$_{3}$I
,,,,,Puromycin,C$_{22}$H$_{29}$N$_{7}$O$_{5}$
,5.625,1550,,331.73,Silver chromate,Ag$_{2}$CrO$_{4}$
,,,,,Sermorelin,C$_{149}$H$_{246}$N$_{44}$O$_{42}$S
,1.3$\pm$0.1,,,,RVX 208,C$_{20}$H$_{22}$N$_{2}$O$_{5}$
882,5.22,about 1230,Insoluble,150.775,Tin(II) sulfide,SnS
,,,,,Sulfacetamide,C$_{8}$H$_{10}$N$_{2}$O$_{3}$S
,,,,,Elesclomol,C$_{19}$H$_{20}$N$_{4}$O$_{2}$S$_{2}$
1538,5,,,231.533,Iron(II III) oxide,Fe$_{3}$O$_{4}$
,,,,,Teriflunomide,C$_{12}$H$_{9}$F$_{3}$N$_{2}$O$_{2}$
,,,,,PRC200,C$_{20}$H$_{21}$NO
,,,,,Biricodar,C$_{34}$H$_{41}$N$_{3}$O$_{7}$
,,,,439.63,N-Arachidonoyl dopamine,C$_{28}$H$_{41}$NO$_{3}$
,1.05,180,,338.438,Piperonyl butoxide,C$_{19}$H$_{30}$O$_{5}$
103-105,1.334,,poor,,Benzoyl peroxide,C$_{14}$H$_{10}$O$_{4}$
162-164,,,soluble,167.21,Synephrine,C$_{9}$H$_{13}$NO$_{2}$
,,,,,Hydroxychloroquine,C$_{18}$H$_{26}$ClN$_{3}$O
,,,,,Gabapentin,C$_{9}$H$_{17}$NO$_{2}$
,1.545,,soluble,194.051,Sodium tartrate,C$_{4}$H$_{4}$Na$_{2}$O$_{6}$(anhydrous)
,,,,,Rimantadine,C$_{12}$H$_{21}$N
,,,,,Mesoridazine,C$_{21}$H$_{26}$N$_{2}$OS$_{2}$
,,,,,Bombesin,C$_{71}$H$_{110}$N$_{24}$O$_{18}$S
168,,,,,Oil Yellow DE,C$_{16}$H$_{14}$N$_{4}$O
137,,,,130.099,Glutaconic acid,C$_{5}$H$_{6}$O$_{4}$
,,,,,VUF-5681,C$_{11}$H$_{19}$N$_{3}$
,,,,,Diiron propanedithiolate hexacarbonyl,C$_{9}$H$_{6}$Fe$_{2}$O$_{6}$S$_{2}$
1907,4.236,2671,"insoluble, exothermal blue solution",146.97,Chromium(III) phosphate,CrPO$_{4}$
,,,,158.1,Maleylacetic acid,C$_{6}$H$_{6}$O$_{5}$
,,,,,Fantofarone,C$_{31}$H$_{38}$N$_{2}$O$_{5}$S
,,,,,Acadesine,C$_{9}$H$_{14}$N$_{4}$O$_{5}$
,,,,,Tropatepine,C$_{22}$H$_{23}$NS
202.8,1.525,668.9,,342.3,Lactose,C$_{12}$H$_{22}$O$_{11}$
